VALID	DESC	ID
		<VI>card_ids	<S>name	<B>type	<S>effect	<S>version
		3791	伟大药水	I	heal:amount=50	C
		1420,1687,2511,6064	涡轮修正档	I	coin_flip:count=1|attach_energy_from_discard:count=1;filter=基本;target=any|unparsed:若为正面，则（"宝可梦【GX】" 除外）身上。	D
		4961	无理取闹喷雾	I	raw:在不看正面的情况下，从对手的手牌选择1张看正面。若该卡为支援者卡，则丢到弃牌区。若不为支援者卡，则放回原本的手牌。	A
		999,2004,2432,6063,6262,6737,7443,7758,8089,8574,9664,9834	雾之水晶	I	search_deck_to_hand:count=1;filter=【超】属性的【基础】宝可梦卡或者【超】能量|shuffle_deck	E
		1422,2515	稀有化石	I	fossil_place:hp=70|unparsed:这张卡可【无】属性的【基础】宝可梦放置于场上。若在自己的回合中，则可将场上的这张卡丢弃。这张卡不会陷	D
		7034,8095,8575,9671,11756	洗翠的沉重球	I	raw:查看自己的所有反面朝上的奖赏卡的正面。从其中选择1张【基础】宝可梦卡，在给对手看过后，与这张"洗翠的沉重球"卡互换并加入手牌。将看过的奖赏卡与换入的卡全部翻回反	F
		1570,1684,1846,2005,2433,2508,3084,6139,6263,6360,6870,6891	先机球	I	search_deck_to_hand:count=1;filter=【基础】宝可梦|shuffle_deck|unparsed:这张卡必须将自己的1张手牌丢弃才可使用。 。。	D
		1419	相仿铃铛	I	search_deck_to_hand:count=1;filter=与自己的弃牌区的宝可梦名称相同的宝可梦|shuffle_deck	D
		6851,9663	消除香水	I	raw:在这个回合结束前，对手的战斗宝可梦的特性全部消除。（包含新上战斗场的宝可梦。）	F
		860,2007	摇摇奶昔	I	end_turn|shuffle_deck|unparsed:从自己的牌库选择1张自己的1只场上宝可梦进化而来的卡，放置于那只宝可梦身上完成进化。。（对自己的最初	E
		8441	野餐篮	I	heal:amount=30	G
		11507,12386,12572,12962,13116,13162	夜间担架	I	recover_from_discard:count=1;filter=宝可梦卡或者基本能量;target=hand	H
		4976	伊利马	I	coin_flip:count=1|unparsed:双方玩家各将所有手牌放回牌库并重洗。然后，双方玩家各，若为正面，则从牌库抽6张，若为反面，则从牌库抽	A
		5719	遗失的四叶草	I	raw:"遗失的四叶草"可同时使用1张或者4张，以使用张数效果有所不同。◆若使用1张，则从自己的牌库上方抽出1张，在看过后回复原样。◆若同时使用4张，则获得1张自己的奖	B
		3302,5714	异兽之环	I	attach_energy_from_deck:count=2;filter=基本|shuffle_deck|unparsed:这张卡只有在对手剩余奖赏卡的张数为4张或者3张时才可使用。自己的1只"究极异兽"身上。。	B
		12172	悠哉尾草棒	I	condition:first_turn_second|unparsed:选择1个对手的场上宝可梦身上附加的能量，放回对手的手牌。	H
		5715	友友球	I	shuffle_deck|unparsed:从自己的牌库，抽出与对手的场上宝可梦属性相同的1张宝可梦，在给对手看过后加入手牌。。	B
		7257	诱饵模组	I	raw:双方玩家各将自己的牌库上方3张卡翻到正面，在给对手看过其中的所有宝可梦卡后，加入手牌。将剩余卡放回牌库并重洗。	F
		5159	诱饵球	I	coin_flip:count=3|recover_from_discard:count=1	B
		3812,5712	越野自行车	I	raw:从自己的牌库上方抽出2张并查看，选择其中的1张加入手牌。将剩余卡丢到弃牌区。	B
		3460	凿凿冰镐	I	raw:从对手的牌库上方抽出3张并查看，选择其中的1张任意卡。将剩余卡放回牌库并重洗，将所选的卡放回牌库上方。	C
		8729	战斗牛奶	I	heal:amount=60|unparsed:这张卡只有在自己剩余奖赏卡的张数比对手剩余奖赏卡的张数多时才可使用。 。	G
		12419	招式学习器机	I	search_deck_to_hand:count=3;filter=名称中有"招式学习器"的"宝可梦道具"|shuffle_deck	H
		12567	珍宝配件	I	search_deck_to_hand:count=5;filter="宝可梦道具"|shuffle_deck	H
		10931	重新启动箱	I	raw:从弃牌区附给自己的所有"未来"宝可梦各1张基本能量卡。	H
		3278,3962	重置印章	I	raw:对手将对手自己的手牌全部放回牌库并重洗。然后，对手从牌库抽出与对手自己剩余奖赏卡的张数相同数量的卡。	C
		9019	抓换臂	I	look_at:target=opponent_hand|unparsed:从其中选择1张宝可梦卡，放回对手的牌库下方。	G
		1688,1848,2011,2435,2512,2920,6065	足量水桶	I	search_deck_to_hand:count=2;filter=【水】能量|shuffle_deck	D
