#dtl1
CSM1DC-324	这张卡牌，可被视作2个【无】能量。					起始卡组 横空出世GX	无标记		A	Double Colorless Energy
CSVM2bC-034	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。\n\n如果身上附着了这张卡牌的宝可梦，身上还附着了除这张卡牌以外的特殊能量的话，则这张卡牌被视作1个【无】能量。					大师战略卡组构筑套装 多龙巴鲁托ex	无标记		G	Luminous Energy
CSV3C-130	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附着了这张卡牌的宝可梦不会陷入【睡眠】、【麻痹】、【混乱】状态，已经处于的【睡眠】、【麻痹】、【混乱】状态，也全部恢复。					无畏太晶	U		G	Therapeutic Energy
CSVE2C-204	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附着了这张卡牌的宝可梦不会陷入【睡眠】、【麻痹】、【混乱】状态，已经处于的【睡眠】、【麻痹】、【混乱】状态，也全部恢复。					对战派对 耀梦	无标记		G	Therapeutic Energy
CSV2C-128	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则这张卡牌，只要被附着于进化宝可梦身上（除「拥有规则的宝可梦」外），就被视作3个所有属性的能量。					奇迹启程	U		G	Reversal Energy
CSV3C-165	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则这张卡牌，只要被附着于进化宝可梦身上（除「拥有规则的宝可梦」外），就被视作3个所有属性的能量。					无畏太晶	UR		G	Reversal Energy
CSVE2C-207	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则这张卡牌，只要被附着于进化宝可梦身上（除「拥有规则的宝可梦」外），就被视作3个所有属性的能量。					对战派对 耀梦	无标记		G	Reversal Energy
CSV8C-206	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n如果因为身上附着了这张卡牌的宝可梦所使用的招式的效果，而导致这张卡牌被放于弃牌区的话，则在处理完招式的伤害和效果后，将这张卡牌附着回原来的宝可梦身上。					璀璨诡幻	U		H	Boomerang Energy
CSV9C-208	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。 \n\n当将这张卡牌从手牌附着于宝可梦身上时，从自己牌库上方抽取4张卡牌。					星彩晶璃	ACE	ACE SPEC	H	Enriching Energy
CSV7C-203	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n如果被附着于【2阶进化】宝可梦身上的话，则被视作2个所有属性的能量。					利刃猛醒	ACE	ACE SPEC	H	Neo Upper Energy
CSVM2bC-033	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n如果被附着于【2阶进化】宝可梦身上的话，则被视作2个所有属性的能量。					大师战略卡组构筑套装 多龙巴鲁托ex	无标记	ACE SPEC	H	Neo Upper Energy
CSV7C-204	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附着了这张卡牌的宝可梦，不受到对手宝可梦所使用的招式的效果影响。（已经受到的效果，不会消失。）					利刃猛醒	U		H	Mist Energy
CSV9.5C-207	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附着了这张卡牌的宝可梦，不受到对手宝可梦所使用的招式的效果影响。（已经受到的效果，不会消失。）					太晶盛聚	U		H	Mist Energy
CSVM1aC-033	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附着了这张卡牌的宝可梦，不受到对手宝可梦所使用的招式的效果影响。（已经受到的效果，不会消失。）					大师战略卡组构筑套装 喷火龙ex	无标记		H	Mist Energy
CSV8C-207	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。\n \n身上附着了这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，对手拿取的奖赏卡将减少1张。对战中，自己的「遗赠能量」的这个效果，只会生效1次。					璀璨诡幻	ACE	ACE SPEC	H	Legacy Energy
CSV9.5C-208	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。\n \n身上附着了这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，对手拿取的奖赏卡将减少1张。对战中，自己的「遗赠能量」的这个效果，只会生效1次。					太晶盛聚	ACE	ACE SPEC	H	Legacy Energy
CSV10C-221	只要这张卡牌被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附着了这张卡牌的宝可梦在战斗场上受到对手宝可梦的招式的伤害时，给使用了招式的宝可梦身上放置2个伤害指示物。					共逐荣光	U		I	
CSV10C-287	只要这张卡牌被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附着了这张卡牌的宝可梦在战斗场上受到对手宝可梦的招式的伤害时，给使用了招式的宝可梦身上放置2个伤害指示物。					共逐荣光	UR		I	
CSV10C-222	这张卡牌只能附着于「火箭队的宝可梦」身上，如果这张卡牌附着于「火箭队的宝可梦」之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌被附着于宝可梦身上，就被视作2个【超】【恶】2种属性的能量。					共逐荣光	U		I	
