#srch1
CSM1DC-001	妙蛙种子 bulbasaur pokemon g basic csm1dc a  草  飞叶快刀 30\n\n\n 飞叶快刀 gc 30
CSV3C-033	暴鲤龙ex gyarados ex pokemon ex w stage 1 csv3c g  水  水  水  攀瀑 100\n\n\n 水  水  水  暴君之尾 180+\n如果对手的战斗宝可梦身上放置有伤害指示物的话 则追加造成180伤害 \n\n 攀瀑 www 100 暴君之尾 wwwcc 180+ 如果对手的战斗宝可梦身上放置有伤害指示物的话 则追加造成180伤害 
CSV3C-143	暴鲤龙ex gyarados ex pokemon ex w stage 1 csv3c g  水  水  水  攀瀑 100\n\n\n 水  水  水  暴君之尾 180+\n如果对手的战斗宝可梦身上放置有伤害指示物的话 则追加造成180伤害 \n\n 攀瀑 www 100 暴君之尾 wwwcc 180+ 如果对手的战斗宝可梦身上放置有伤害指示物的话 则追加造成180伤害 
CSMPiC-003	暴鲤龙gx gyarados-gx pokemon gx w stage 1 csmpic a  水  攀瀑 70\n\n\n 水  龙之灾厄 100+\n如果场上有竞技场的话 则追加造成100点伤害 然后 将该竞技场放于弃牌区 \n\n 水  恐怖风暴gx \n将附着于对手场上所有宝可梦身上的能量各1个 放于弃牌区  对战中 己方的gx招式只能使用1次  \n\n 攀瀑 wcc 70 龙之灾厄 wcccc 100+ 如果场上有竞技场的话 则追加造成100点伤害 然后 将该竞技场放于弃牌区  恐怖风暴gx w 将附着于对手场上所有宝可梦身上的能量各1个 放于弃牌区  对战中 己方的gx招式只能使用1次  
CSMPcC-004	暴鲤龙gx gyarados-gx pokemon gx w stage 1 csmpcc c  水  水  水  龙之怒 130\n\n\n 水  水  水  破坏光线gx 240\n 对战中 己方的gx招式只能使用1次  \n\n 龙之怒 wwwc 130 破坏光线gx wwwc 240  对战中 己方的gx招式只能使用1次  
CS4bC-025	暴鲤龙v gyarados v pokemon v w basic cs4bc e  水  水  怒不可遏 20×\n造成放置于这只宝可梦身上的伤害指示物数量×20点伤害 \n\n 水  水  水  重磅风暴 180\n\n\n 怒不可遏 wwc 20× 造成放置于这只宝可梦身上的伤害指示物数量×20点伤害  重磅风暴 wwwc 180
CS4bC-135	暴鲤龙v gyarados v pokemon v w basic cs4bc e  水  水  怒不可遏 20×\n造成放置于这只宝可梦身上的伤害指示物数量×20点伤害 \n\n 水  水  水  重磅风暴 180\n\n\n 怒不可遏 wwc 20× 造成放置于这只宝可梦身上的伤害指示物数量×20点伤害  重磅风暴 wwwc 180
CS4bC-026	暴鲤龙vmax gyarados vmax pokemon v w vmax cs4bc e  水  水  破坏光线 120\n选择附着于对手战斗宝可梦身上的1个能量 放于弃牌区 \n\n 水  水  水  极巨暴君 240\n\n\n 破坏光线 wwc 120 选择附着于对手战斗宝可梦身上的1个能量 放于弃牌区  极巨暴君 wwwc 240
CS4bC-159	暴鲤龙vmax gyarados vmax pokemon v w vmax cs4bc e  水  水  破坏光线 120\n选择附着于对手战斗宝可梦身上的1个能量 放于弃牌区 \n\n 水  水  水  极巨暴君 240\n\n\n 破坏光线 wwc 120 选择附着于对手战斗宝可梦身上的1个能量 放于弃牌区  极巨暴君 wwwc 240
CSM1cC-014	拉普拉斯 lapras pokemon w basic csm1cc b 特性  游泳\n在自己的回合可以使用1次 查看自己牌库上方2张卡牌 以任意顺序重新排列 放回牌库上方 \n\n 水  冰冻光束 50\n抛掷1次硬币如果为正面 则使对手的战斗宝可梦陷入 麻痹 状态 \n\n 冰冻光束 wc 50 抛掷1次硬币如果为正面 则使对手的战斗宝可梦陷入 麻痹 状态  游泳 在自己的回合可以使用1次 查看自己牌库上方2张卡牌 以任意顺序重新排列 放回牌库上方 
CSM2DC-060	拉普拉斯 lapras pokemon w basic csm2dc c  水  奇异之光 \n使对手的战斗宝可梦陷入 混乱 状态 \n\n 水炮 10+\n追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 \n\n 奇异之光 w 使对手的战斗宝可梦陷入 混乱 状态  水炮 c 10+ 追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 
CSM2aC-026	拉普拉斯 lapras pokemon w basic csm2ac c 特性  人鱼呼唤\n在自己的回合可以使用1次 将自己弃牌区中的1张 小霞的愿望  在给对手看过之后 加入手牌 \n\n 水  水  冲浪 90\n\n\n 冲浪 wwc 90 人鱼呼唤 在自己的回合可以使用1次 将自己弃牌区中的1张 小霞的愿望  在给对手看过之后 加入手牌 
CSMPlC-001	拉普拉斯 lapras pokemon w basic csmplc c  水  奇异之光 \n使对手的战斗宝可梦陷入 混乱 状态 \n\n 水炮 10+\n追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 \n\n 奇异之光 w 使对手的战斗宝可梦陷入 混乱 状态  水炮 c 10+ 追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 
CS1DC-046	拉普拉斯 lapras pokemon w basic cs1dc d  水  水  水  水  水流清洗 70\n若希望 选择附着于对手战斗宝可梦身上的2个能量 放回对手的手牌 \n\n 水流清洗 wwww 70 若希望 选择附着于对手战斗宝可梦身上的2个能量 放回对手的手牌 
CS3bC-034	拉普拉斯 lapras pokemon w basic cs3bc e  白色呼唤 \n选择自己牌库中最多2张 美蓉  在给对手看过之后 加入手牌 并重洗牌库 \n\n 水  冰冻之风 50\n使对手的战斗宝可梦陷入 睡眠 状态 \n\n 白色呼唤 c 选择自己牌库中最多2张 美蓉  在给对手看过之后 加入手牌 并重洗牌库  冰冻之风 wc 50 使对手的战斗宝可梦陷入 睡眠 状态 
CS4.5C-005	拉普拉斯 lapras pokemon  "rapid strike"  w basic cs4 5c e  冰冻之风 \n使对手的战斗宝可梦陷入 睡眠 状态 \n\n 水  水  飞溅之矢 \n将附着于这只宝可梦身上的能量全部放回手牌 给对手的1只备战宝可梦 造成100点伤害  备战宝可梦不计算弱点 抗性  \n\n 冰冻之风 c 使对手的战斗宝可梦陷入 睡眠 状态  飞溅之矢 wwc 将附着于这只宝可梦身上的能量全部放回手牌 给对手的1只备战宝可梦 造成100点伤害  备战宝可梦不计算弱点 抗性  
CS4DaC-086	拉普拉斯 lapras pokemon  "rapid strike"  w basic cs4dac e  冰冻之风 \n使对手的战斗宝可梦陷入 睡眠 状态 \n\n 水  水  飞溅之矢 \n将附着于这只宝可梦身上的能量全部放回手牌 给对手的1只备战宝可梦 造成100点伤害  备战宝可梦不计算弱点 抗性  \n\n 冰冻之风 c 使对手的战斗宝可梦陷入 睡眠 状态  飞溅之矢 wwc 将附着于这只宝可梦身上的能量全部放回手牌 给对手的1只备战宝可梦 造成100点伤害  备战宝可梦不计算弱点 抗性  
CSVE2C-031	拉普拉斯 lapras pokemon w basic csve2c e  白色呼唤 \n选择自己牌库中最多2张 美蓉  在给对手看过之后 加入手牌 并重洗牌库 \n\n 水  冰冻之风 50\n使对手的战斗宝可梦陷入 睡眠 状态 \n\n 白色呼唤 c 选择自己牌库中最多2张 美蓉  在给对手看过之后 加入手牌 并重洗牌库  冰冻之风 wc 50 使对手的战斗宝可梦陷入 睡眠 状态 
CS5DC-029	拉普拉斯 lapras pokemon w basic cs5dc f  水  水  愤怒冷冻 110\n在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 \n\n 愤怒冷冻 wwc 110 在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 
CS6bC-006	拉普拉斯 lapras pokemon w basic cs6bc f  水  水  愤怒冷冻 110\n在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 \n\n 愤怒冷冻 wwc 110 在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 
CS6bC-132	拉普拉斯 lapras pokemon w basic cs6bc f  水  水  愤怒冷冻 110\n在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 \n\n 愤怒冷冻 wwc 110 在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 
CSVE2C-032	拉普拉斯 lapras pokemon w basic csve2c f  水  水  愤怒冷冻 110\n在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 \n\n 愤怒冷冻 wwc 110 在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 
CSVH2C-004	拉普拉斯 lapras pokemon w basic csvh2c f  水  水  愤怒冷冻 110\n在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 \n\n 愤怒冷冻 wwc 110 在上一个对手的回合 如果因为招式的伤害 而导致自己的宝可梦 昏厥 的话 则使对手的战斗宝可梦陷入 麻痹 状态 
151C-131	拉普拉斯 lapras pokemon w basic 151c g  水  背起 \n选择自己牌库中最多2张宝可梦 在给对手看过之后 加入手牌 并重洗牌库 \n\n 水  水流利刃 90\n\n\n 背起 w 选择自己牌库中最多2张宝可梦 在给对手看过之后 加入手牌 并重洗牌库  水流利刃 wcc 90
CSV5C-023	拉普拉斯 lapras pokemon w basic csv5c g  深潜 \n选择自己弃牌区中最多3张基本能量 在给对手看过之后 加入手牌 \n\n 水  冷冻干燥 50\n抛掷1次硬币如果为正面 则令对手的战斗宝可梦陷入 麻痹 状态 \n\n 深潜 c 选择自己弃牌区中最多3张基本能量 在给对手看过之后 加入手牌  冷冻干燥 wc 50 抛掷1次硬币如果为正面 则令对手的战斗宝可梦陷入 麻痹 状态 
CSV6C-029	拉普拉斯 lapras pokemon w basic csv6c g  冰雹 \n给对手所有的宝可梦 各造成10伤害  备战宝可梦不计算弱点 抗性  \n\n 水  水  冻结之风 100\n\n\n 冰雹 cc 给对手所有的宝可梦 各造成10伤害  备战宝可梦不计算弱点 抗性   冻结之风 wwc 100
CSVSC-012	拉普拉斯 lapras pokemon w basic csvsc h  水  水枪 20\n\n\n 水  冲浪 80\n\n\n 水枪 w 20 冲浪 wcc 80
CSV10C-050	小霞的拉普拉斯 pokemon w basic csv10c i  水  一同游动 \n选择自己牌库中最多3张 小霞的宝可梦  在给对手看过之后加入手牌 并重洗牌库 \n\n 水  冲浪 60\n\n\n 一同游动 w 选择自己牌库中最多3张 小霞的宝可梦  在给对手看过之后加入手牌 并重洗牌库  冲浪 wc 60
CSV9C-037	拉普拉斯ex lapras ex pokemon ex w basic csv9c h  水  力量飞溅 40×\n造成这只宝可梦身上附着的能量数量×40伤害 \n\n 水  超  钢  海纹石之雨 \n查看自己牌库上方20张卡牌 选择其中任意数量的能量 以任意方式附着于自己的宝可梦身上 将剩余的卡牌放回牌库并重洗牌库 \n\n 力量飞溅 w 40× 造成这只宝可梦身上附着的能量数量×40伤害  海纹石之雨 wpm 查看自己牌库上方20张卡牌 选择其中任意数量的能量 以任意方式附着于自己的宝可梦身上 将剩余的卡牌放回牌库并重洗牌库 
CSV9C-220	拉普拉斯ex lapras ex pokemon ex w basic csv9c h  水  力量飞溅 40×\n造成这只宝可梦身上附着的能量数量×40伤害 \n\n 水  超  钢  海纹石之雨 \n查看自己牌库上方20张卡牌 选择其中任意数量的能量 以任意方式附着于自己的宝可梦身上 将剩余的卡牌放回牌库并重洗牌库 \n\n 力量飞溅 w 40× 造成这只宝可梦身上附着的能量数量×40伤害  海纹石之雨 wpm 查看自己牌库上方20张卡牌 选择其中任意数量的能量 以任意方式附着于自己的宝可梦身上 将剩余的卡牌放回牌库并重洗牌库 
CSV9C-259	拉普拉斯ex lapras ex pokemon ex w basic csv9c h  水  力量飞溅 40×\n造成这只宝可梦身上附着的能量数量×40伤害 \n\n 水  超  钢  海纹石之雨 \n查看自己牌库上方20张卡牌 选择其中任意数量的能量 以任意方式附着于自己的宝可梦身上 将剩余的卡牌放回牌库并重洗牌库 \n\n 力量飞溅 w 40× 造成这只宝可梦身上附着的能量数量×40伤害  海纹石之雨 wpm 查看自己牌库上方20张卡牌 选择其中任意数量的能量 以任意方式附着于自己的宝可梦身上 将剩余的卡牌放回牌库并重洗牌库 
CSM1cC-015	拉普拉斯gx lapras-gx pokemon gx w basic csm1cc a  水  招来 \n从自己的牌库上方抽取3张卡牌 \n\n 水  水  水  暴雪灼烧 160\n在下一个自己的回合 这只宝可梦无法使用招式 \n\n 水  水  冰冻光束gx 100\n使对手的战斗宝可梦陷入 麻痹 状态  对战中 己方的gx招式只能使用1次  \n\n 招来 w 从自己的牌库上方抽取3张卡牌  暴雪灼烧 www 160 在下一个自己的回合 这只宝可梦无法使用招式  冰冻光束gx wwc 100 使对手的战斗宝可梦陷入 麻痹 状态  对战中 己方的gx招式只能使用1次  
CS1aC-008	拉普拉斯v lapras v pokemon v w basic cs1ac d  波浪折返 \n选择自己手牌中的1张 水 能量 附着于这只宝可梦身上 然后 将这只宝可梦与备战宝可梦互换 \n\n 水  水  水  海洋环 210\n选择附着于这只宝可梦身上的2个 水 能量 放回手牌 \n\n 波浪折返 c 选择自己手牌中的1张 水 能量 附着于这只宝可梦身上 然后 将这只宝可梦与备战宝可梦互换  海洋环 wwwc 210 选择附着于这只宝可梦身上的2个 水 能量 放回手牌 
CS1aC-175	拉普拉斯v lapras v pokemon v w basic cs1ac d  波浪折返 \n选择自己手牌中的1张 水 能量 附着于这只宝可梦身上 然后 将这只宝可梦与备战宝可梦互换 \n\n 水  水  水  海洋环 210\n选择附着于这只宝可梦身上的2个 水 能量 放回手牌 \n\n 波浪折返 c 选择自己手牌中的1张 水 能量 附着于这只宝可梦身上 然后 将这只宝可梦与备战宝可梦互换  海洋环 wwwc 210 选择附着于这只宝可梦身上的2个 水 能量 放回手牌 
CS1aC-193	拉普拉斯v lapras v pokemon v w basic cs1ac d  波浪折返 \n选择自己手牌中的1张 水 能量 附着于这只宝可梦身上 然后 将这只宝可梦与备战宝可梦互换 \n\n 水  水  水  海洋环 210\n选择附着于这只宝可梦身上的2个 水 能量 放回手牌 \n\n 波浪折返 c 选择自己手牌中的1张 水 能量 附着于这只宝可梦身上 然后 将这只宝可梦与备战宝可梦互换  海洋环 wwwc 210 选择附着于这只宝可梦身上的2个 水 能量 放回手牌 
CSAC-003	拉普拉斯v lapras v pokemon v w basic csac d  波浪折返 \n选择自己手牌中的1张 水 能量 附着于这只宝可梦身上 然后 将这只宝可梦与备战宝可梦互换 \n\n 水  水  水  海洋环 210\n选择附着于这只宝可梦身上的2个 水 能量 放回手牌 \n\n 波浪折返 c 选择自己手牌中的1张 水 能量 附着于这只宝可梦身上 然后 将这只宝可梦与备战宝可梦互换  海洋环 wwwc 210 选择附着于这只宝可梦身上的2个 水 能量 放回手牌 
CS1aC-009	拉普拉斯vmax lapras vmax pokemon v w vmax cs1ac d  超极巨高压水泵 90+\n追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 \n\n 超极巨高压水泵 ccc 90+ 追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 
CS1aC-194	拉普拉斯vmax lapras vmax pokemon v w vmax cs1ac d  超极巨高压水泵 90+\n追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 \n\n 超极巨高压水泵 ccc 90+ 追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 
CS1aC-200	拉普拉斯vmax lapras vmax pokemon v w vmax cs1ac d  超极巨高压水泵 90+\n追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 \n\n 超极巨高压水泵 ccc 90+ 追加造成这只宝可梦身上附有的 水 能量数量×30点伤害 
CS5.5C-055	百变怪 ditto pokemon c basic cs5 5c f 特性  突然变幻\n这只宝可梦 可使用自己弃牌区中的 基础 宝可梦 除 拥有规则的宝可梦 外 所拥有的所有招式  需要满足使用招式所需能量  \n\n 突然变幻 这只宝可梦 可使用自己弃牌区中的 基础 宝可梦 除 拥有规则的宝可梦 外 所拥有的所有招式  需要满足使用招式所需能量  
CSVE2C-121	百变怪 ditto pokemon c basic csve2c f 特性  突然变幻\n这只宝可梦 可使用自己弃牌区中的 基础 宝可梦 除 拥有规则的宝可梦 外 所拥有的所有招式  需要满足使用招式所需能量  \n\n 突然变幻 这只宝可梦 可使用自己弃牌区中的 基础 宝可梦 除 拥有规则的宝可梦 外 所拥有的所有招式  需要满足使用招式所需能量  
CSZC-068	百变怪 ditto pokemon c basic cszc f 特性  突然变幻\n这只宝可梦 可使用自己弃牌区中的 基础 宝可梦 除 拥有规则的宝可梦 外 所拥有的所有招式  需要满足使用招式所需能量  \n\n 突然变幻 这只宝可梦 可使用自己弃牌区中的 基础 宝可梦 除 拥有规则的宝可梦 外 所拥有的所有招式  需要满足使用招式所需能量  
151C-132	百变怪 ditto pokemon c basic 151c g 特性  变身启动\n如果这只宝可梦在战斗场上的话 则仅在最初的自己的回合可以使用1次 选择自己牌库中的1张 基础 宝可梦 除 百变怪 外  然后 将这只宝可梦 以及放于其身上的所有卡牌放于弃牌区 将被选择的宝可梦放于这只宝可梦原先的位置 并重洗牌库 \n\n 粘粑粑 10\n\n\n 粘粑粑 c 10 变身启动 如果这只宝可梦在战斗场上的话 则仅在最初的自己的回合可以使用1次 选择自己牌库中的1张 基础 宝可梦 除 百变怪 外  然后 将这只宝可梦 以及放于其身上的所有卡牌放于弃牌区 将被选择的宝可梦放于这只宝可梦原先的位置 并重洗牌库 
151C-168	百变怪 ditto pokemon c basic 151c g 特性  变身启动\n如果这只宝可梦在战斗场上的话 则仅在最初的自己的回合可以使用1次 选择自己牌库中的1张 基础 宝可梦 除 百变怪 外  然后 将这只宝可梦 以及放于其身上的所有卡牌放于弃牌区 将被选择的宝可梦放于这只宝可梦原先的位置 并重洗牌库 \n\n 粘粑粑 10\n\n\n 粘粑粑 c 10 变身启动 如果这只宝可梦在战斗场上的话 则仅在最初的自己的回合可以使用1次 选择自己牌库中的1张 基础 宝可梦 除 百变怪 外  然后 将这只宝可梦 以及放于其身上的所有卡牌放于弃牌区 将被选择的宝可梦放于这只宝可梦原先的位置 并重洗牌库 
CSVH4aC-002	百变怪 ditto pokemon c basic csvh4ac g 特性  变身启动\n如果这只宝可梦在战斗场上的话 则仅在最初的自己的回合可以使用1次 选择自己牌库中的1张 基础 宝可梦 除 百变怪 外  然后 将这只宝可梦 以及放于其身上的所有卡牌放于弃牌区 将被选择的宝可梦放于这只宝可梦原先的位置 并重洗牌库 \n\n 粘粑粑 10\n\n\n 粘粑粑 c 10 变身启动 如果这只宝可梦在战斗场上的话 则仅在最初的自己的回合可以使用1次 选择自己牌库中的1张 基础 宝可梦 除 百变怪 外  然后 将这只宝可梦 以及放于其身上的所有卡牌放于弃牌区 将被选择的宝可梦放于这只宝可梦原先的位置 并重洗牌库 
CSVM2aC-009	百变怪 ditto pokemon c basic csvm2ac g 特性  变身启动\n如果这只宝可梦在战斗场上的话 则仅在最初的自己的回合可以使用1次 选择自己牌库中的1张 基础 宝可梦 除 百变怪 外  然后 将这只宝可梦 以及放于其身上的所有卡牌放于弃牌区 将被选择的宝可梦放于这只宝可梦原先的位置 并重洗牌库 \n\n 无  粘粑粑 10\n\n\n 粘粑粑 c 10 变身启动 如果这只宝可梦在战斗场上的话 则仅在最初的自己的回合可以使用1次 选择自己牌库中的1张 基础 宝可梦 除 百变怪 外  然后 将这只宝可梦 以及放于其身上的所有卡牌放于弃牌区 将被选择的宝可梦放于这只宝可梦原先的位置 并重洗牌库 
CS2.5C-038	百变怪v ditto v pokemon v c basic cs2 5c d 特性  v变幻\n在自己的回合可以使用1次 选择自己弃牌区中的1张 基础 宝可梦的 宝可梦 v   与这只宝可梦互换 继承所有放于其身上的卡牌 伤害指示物 特殊状态 效果等等  将这只宝可梦放于弃牌区 \n\n 轻黏 \n选择自己弃牌区中的1张基本能量 附着于这只宝可梦身上 \n\n 轻黏 c 选择自己弃牌区中的1张基本能量 附着于这只宝可梦身上  v变幻 在自己的回合可以使用1次 选择自己弃牌区中的1张 基础 宝可梦的 宝可梦 v   与这只宝可梦互换 继承所有放于其身上的卡牌 伤害指示物 特殊状态 效果等等  将这只宝可梦放于弃牌区 
CS2.5C-072	百变怪v ditto v pokemon v c basic cs2 5c d 特性  v变幻\n在自己的回合可以使用1次 选择自己弃牌区中的1张 基础 宝可梦的 宝可梦 v   与这只宝可梦互换 继承所有放于其身上的卡牌 伤害指示物 特殊状态 效果等等  将这只宝可梦放于弃牌区 \n\n 轻黏 \n选择自己弃牌区中的1张基本能量 附着于这只宝可梦身上 \n\n 轻黏 c 选择自己弃牌区中的1张基本能量 附着于这只宝可梦身上  v变幻 在自己的回合可以使用1次 选择自己弃牌区中的1张 基础 宝可梦的 宝可梦 v   与这只宝可梦互换 继承所有放于其身上的卡牌 伤害指示物 特殊状态 效果等等  将这只宝可梦放于弃牌区 
CS2.5C-039	百变怪vmax ditto vmax pokemon v c vmax cs2 5c d  极巨变身 \n选择对手战斗宝可梦所拥有的1个招式 作为这个招式使用 \n\n 极巨变身 ccc 选择对手战斗宝可梦所拥有的1个招式 作为这个招式使用 
CS2.5C-073	百变怪vmax ditto vmax pokemon v c vmax cs2 5c d  极巨变身 \n选择对手战斗宝可梦所拥有的1个招式 作为这个招式使用 \n\n 极巨变身 ccc 选择对手战斗宝可梦所拥有的1个招式 作为这个招式使用 
CSM1.5C-037	百变怪◇ ditto prism star pokemon prism star c basic csm1 5c b 特性  万能进化\n在自己的回合 可以从手牌中使出 1阶进化 宝可梦 放于这只宝可梦身上进行进化  在自己最初的回合 以及这只宝可梦刚出场的回合除外  \n\n 万能进化 在自己的回合 可以从手牌中使出 1阶进化 宝可梦 放于这只宝可梦身上进行进化  在自己最初的回合 以及这只宝可梦刚出场的回合除外  
CSM1bC-108	伊布 eevee pokemon c basic csm1bc a  友情调色盘 10×\n造成自己备战宝可梦的属性数量×10点伤害 \n\n 友情调色盘 cc 10× 造成自己备战宝可梦的属性数量×10点伤害 
CSM1cC-101	伊布 eevee pokemon c basic csm1cc a 特性  能量进化\n在自己的回合 从自己的手牌将基本能量附着于这只宝可梦身上时 可使用1次 将与被附着的能量相同属性的 从这只宝可梦进化而来的卡牌 从自己的牌库中选择1张 放于这只宝可梦身上进行进化 并重洗牌库 \n\n 快速抽取 \n抛掷1次硬币如果为正面 则从自己的牌库上方抽取1张卡牌 \n\n 快速抽取 c 抛掷1次硬币如果为正面 则从自己的牌库上方抽取1张卡牌  能量进化 在自己的回合 从自己的手牌将基本能量附着于这只宝可梦身上时 可使用1次 将与被附着的能量相同属性的 从这只宝可梦进化而来的卡牌 从自己的牌库中选择1张 放于这只宝可梦身上进行进化 并重洗牌库 
CSM1cC-166	伊布 eevee pokemon c basic csm1cc a 特性  能量进化\n在自己的回合 从自己的手牌将基本能量附着于这只宝可梦身上时 可使用1次 将与被附着的能量相同属性的 从这只宝可梦进化而来的卡牌 从自己的牌库中选择1张 放于这只宝可梦身上进行进化 并重洗牌库 \n\n 快速抽取 \n抛掷1次硬币如果为正面 则从自己的牌库上方抽取1张卡牌 \n\n 快速抽取 c 抛掷1次硬币如果为正面 则从自己的牌库上方抽取1张卡牌  能量进化 在自己的回合 从自己的手牌将基本能量附着于这只宝可梦身上时 可使用1次 将与被附着的能量相同属性的 从这只宝可梦进化而来的卡牌 从自己的牌库中选择1张 放于这只宝可梦身上进行进化 并重洗牌库 
CSM1aC-109	伊布 eevee pokemon c basic csm1ac b  啃咬 20\n\n\n 啃咬 c 20
CSM2.5C-040	伊布 eevee pokemon c basic csm2 5c c  跟尾来 \n将自己牌库中任意数量的 伊布 包含gx  放于备战区 并重洗牌库 \n\n 撞击 10\n\n\n 跟尾来 c 将自己牌库中任意数量的 伊布 包含gx  放于备战区 并重洗牌库  撞击 c 10
CSM2DC-212	伊布 eevee pokemon c basic csm2dc c  引导 \n将自己牌库中的1张支援者 在给对手看过之后 加入手牌 并重洗牌库 \n\n 咬住 20\n\n\n 引导 c 将自己牌库中的1张支援者 在给对手看过之后 加入手牌 并重洗牌库  咬住 cc 20
CS2.5C-040	伊布 eevee pokemon c basic cs2 5c d  啃咬 10\n\n\n 摆尾拍击 20\n\n\n 啃咬 c 10 摆尾拍击 cc 20
CS5.1C-003	伊布 eevee pokemon c basic cs5 1c d  最初的一步 \n从自己牌库上方抽取1张卡牌 \n\n 摆尾拍击 30\n\n\n 最初的一步 c 从自己牌库上方抽取1张卡牌  摆尾拍击 ccc 30
SSP-010	伊布 eevee pokemon c basic ssp d  进化预兆 \n从自己的牌库中选择1张从 伊布 进化而来的卡牌 在给对手看过之后 加入手牌 并重洗牌库 \n\n 踹 30\n抛掷1次硬币如果为反面 则这个招式失败 \n\n 进化预兆 c 从自己的牌库中选择1张从 伊布 进化而来的卡牌 在给对手看过之后 加入手牌 并重洗牌库  踹 cc 30 抛掷1次硬币如果为反面 则这个招式失败 
SSP-023	伊布 eevee pokemon c basic ssp d  进化预兆 \n从自己的牌库中选择1张从 伊布 进化而来的卡牌 在给对手看过之后 加入手牌 并重洗牌库 \n\n 踹 30\n抛掷1次硬币如果为反面 则这个招式失败 \n\n 进化预兆 c 从自己的牌库中选择1张从 伊布 进化而来的卡牌 在给对手看过之后 加入手牌 并重洗牌库  踹 cc 30 抛掷1次硬币如果为反面 则这个招式失败 
SSP-027	伊布 eevee pokemon c basic ssp d  进化预兆 \n从自己的牌库中选择1张从 伊布 进化而来的卡牌 在给对手看过之后 加入手牌 并重洗牌库 \n\n 踹 30\n抛掷1次硬币如果为反面 则这个招式失败 \n\n 进化预兆 c 从自己的牌库中选择1张从 伊布 进化而来的卡牌 在给对手看过之后 加入手牌 并重洗牌库  踹 cc 30 抛掷1次硬币如果为反面 则这个招式失败 
CBB2C-0101	伊布 eevee pokemon c basic cbb2c e  伊布搜索 \n选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库 \n\n 踩 20\n\n\n 伊布搜索 c 选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库  踩 cc 20
CBB2C-0103	伊布 eevee pokemon c basic cbb2c e  伊布搜索 \n选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库 \n\n 踩 20\n\n\n 伊布搜索 c 选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库  踩 cc 20
CBB2C-0105	伊布 eevee pokemon c basic cbb2c e  伊布搜索 \n选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库 \n\n 踩 20\n\n\n 伊布搜索 c 选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库  踩 cc 20
CBB2C-0107	伊布 eevee pokemon c basic cbb2c e  伊布搜索 \n选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库 \n\n 踩 20\n\n\n 伊布搜索 c 选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库  踩 cc 20
CBB2C-0109	伊布 eevee pokemon c basic cbb2c e  伊布搜索 \n选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库 \n\n 踩 20\n\n\n 伊布搜索 c 选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库  踩 cc 20
CBB2C-0111	伊布 eevee pokemon c basic cbb2c e  伊布搜索 \n选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库 \n\n 踩 20\n\n\n 伊布搜索 c 选择自己牌库中最多3张 宝可梦 v   在给对手看过之后 加入手牌 并重洗牌库  踩 cc 20
