#srch1
CSM1.5C-055	被破坏殆尽的原野 devoured field stadium csm1 5c a 双方的 恶 或 龙 宝可梦使用的招式 给对手战斗宝可梦造成的伤害 +10  
CSVE1C-168	桌台市 mesagoza stadium csve1c g 双方玩家 每次在自己的回合有1次机会 可抛掷1次硬币 如果为正面 则选择自己牌库中的1张宝可梦 在给对手看过之后 加入手牌 并重洗牌库 
CSV6C-127	自行车道 cycling road stadium csv6c g 双方玩家 每次在自己的回合有1次机会 如果将自己手牌中的1张基本能量放于弃牌区的话 则可从自己牌库上方抽取1张卡牌 
CSV8C-202	公民馆 community center stadium csv8c h 每次在自己的回合有1次机会 在这个回合 从手牌使出了支援者的玩家 可将自己所有宝可梦的hp 各回复 10  
CSVNC-040	公民馆 community center stadium csvnc h 每次在自己的回合有1次机会 在这个回合 从手牌使出了支援者的玩家 可将自己所有宝可梦的hp 各回复 10  
CSV8C-201	祭典会场 festival grounds stadium csv8c h 双方所有身上附着了能量的宝可梦 不会陷入特殊状态 已经处于的特殊状态 也全部恢复 
CSV9.5C-201	祭典会场 festival grounds stadium csv9 5c h 双方所有身上附着了能量的宝可梦 不会陷入特殊状态 已经处于的特殊状态 也全部恢复 
CSVNC-039	祭典会场 festival grounds stadium csvnc h 双方所有身上附着了能量的宝可梦 不会陷入特殊状态 已经处于的特殊状态 也全部恢复 
SVP-NaN1	乐园度假地 paradise resort stadium svp h 双方所有 可达鸭 的 撤退 所需能量 各减少1个 
CSV9.5C-203	零之大空洞 area zero underdepths stadium csv9 5c h 自己场上有 太晶 宝可梦的玩家 可以放于备战区的宝可梦数量变为8只 \n\n 当这张卡牌被放于弃牌区 或者自己场上没有 太晶 宝可梦时 将备战宝可梦放于弃牌区 直到备战宝可梦的数量变为5只为止 双方都要将备战宝可梦放于弃牌区的话 则由这张卡牌的持有者开始执行  
CSV9C-207	零之大空洞 area zero underdepths stadium csv9c h 自己场上有 太晶 宝可梦的玩家 可以放于备战区的宝可梦数量变为8只 \n\n 当这张卡牌被放于弃牌区 或者自己场上没有 太晶 宝可梦时 将备战宝可梦放于弃牌区 直到备战宝可梦的数量变为5只为止 双方都要将备战宝可梦放于弃牌区的话 则由这张卡牌的持有者开始执行  
CSV9C-266	零之大空洞 area zero underdepths stadium csv9c h 自己场上有 太晶 宝可梦的玩家 可以放于备战区的宝可梦数量变为8只 \n\n 当这张卡牌被放于弃牌区 或者自己场上没有 太晶 宝可梦时 将备战宝可梦放于弃牌区 直到备战宝可梦的数量变为5只为止 双方都要将备战宝可梦放于弃牌区的话 则由这张卡牌的持有者开始执行  
CSVM2aC-031	零之大空洞 area zero underdepths stadium csvm2ac h 自己场上有 太晶 宝可梦的玩家 可以放于备战区的宝可梦数量变为8只 \n\n 当这张卡牌被放于弃牌区 或者自己场上没有 太晶 宝可梦时 将备战宝可梦放于弃牌区 直到备战宝可梦的数量变为5只为止 双方都要将备战宝可梦放于弃牌区的话 则由这张卡牌的持有者开始执行  
CSV7C-202	全金属实验室 full metal lab stadium csv7c h 双方的 钢 宝可梦 受到对手宝可梦的招式的伤害 -30  
CSV9C-205	伟大巨树 grand tree stadium ace spec csv9c h 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 从自己场上1只 基础 宝可梦进化而来的 1阶进化 宝可梦 放于那只宝可梦身上进行进化 如果进化了的话 则可以继续选择1张 2阶进化 宝可梦 使其进化 并重洗牌库  在自己最初的回合 以及在这个回合刚出场的 基础 宝可梦无法因此效果进化  
CSV7C-200	危险密林 perilous jungle stadium csv7c h 双方所有处于 中毒 状态的宝可梦 除 恶 宝可梦外  因 中毒 而放置的伤害指示物数量各增加2个 
CSV8C-205	夜间学院 academy at night stadium csv8c h 双方玩家 每次在自己的回合有1次机会 可选择自己的1张手牌 放回牌库上方 
SVP-200	夜间学院 academy at night stadium svp h 双方玩家 每次在自己的回合有1次机会 可选择自己的1张手牌 放回牌库上方 
CSV9C-206	振奋竞技场 lively stadium stadium csv9c h 双方场上的所有 基础 宝可梦的最大hp 各 +30  
CSV7C-201	重力山 gravity mountain stadium csv7c h 双方场上的所有 2阶进化 宝可梦的最大hp 各 -30  
CSV8C-261	重力山 gravity mountain stadium csv8c h 双方场上的所有 2阶进化 宝可梦的最大hp 各 -30  
CSV8C-204	中立中心 neutralization zone stadium ace spec csv8c h 双方所有的宝可梦 除 拥有规则的宝可梦 外  不受到对手 宝可梦 ex ・v 的招式的伤害 \n\n这张卡牌 只要在弃牌区 就无法加入手牌 也无法放回牌库 
CSV9.5C-205	中立中心 neutralization zone stadium ace spec csv9 5c h 双方所有的宝可梦 除 拥有规则的宝可梦 外  不受到对手 宝可梦 ex ・v 的招式的伤害 \n\n这张卡牌 只要在弃牌区 就无法加入手牌 也无法放回牌库 
CSV8C-203	阻碍之塔 jamming tower stadium csv8c h 双方所有宝可梦身上放有的 宝可梦道具 的效果 全部消除 
CSV8C-262	阻碍之塔 jamming tower stadium csv8c h 双方所有宝可梦身上放有的 宝可梦道具 的效果 全部消除 
CSV9.5C-202	阻碍之塔 jamming tower stadium csv9 5c h 双方所有宝可梦身上放有的 宝可梦道具 的效果 全部消除 
CSVM2aC-030	阻碍之塔 jamming tower stadium csvm2ac h 双方所有宝可梦身上放有的 宝可梦道具 的效果 全部消除 
CSVM2cC-030	阻碍之塔 jamming tower stadium csvm2cc h 双方所有宝可梦身上放有的 宝可梦道具 的效果 全部消除 
SVP-287	阻碍之塔 jamming tower stadium svp h 双方所有宝可梦身上放有的 宝可梦道具 的效果 全部消除 
CSV10C-215	n的城堡 stadium csv10c i 将双方场上所有 n的宝可梦  撤退 所需能量全部消除 
CSV10C-218	化朗镇 stadium csv10c i 双方 赫普的宝可梦 所使用的招式给对手战斗宝可梦造成的伤害 +30  
CSV10C-220	火箭队的工厂 stadium csv10c i 在这个回合 从手牌使出了名字中带有 火箭队 的支援者的玩家 在自己的回合有1次机会 可以从自己牌库上方抽取2张卡牌 
CSV10C-219	火箭队的监视塔 stadium csv10c i 将双方场上所有 无 宝可梦的特性全部消除 
CSV10C-216	尖钉镇道馆 stadium csv10c i 双方玩家每次在自己的回合有1次机会 可以选择自己牌库中的1张 玛俐的宝可梦  在给对手看过之后加入手牌 并重洗牌库 
SVP-NaN30	乐园度假地 paradise resort stadium svp i 双方所有 可达鸭 的 撤退 所需能量 各减少1个 
CSV10C-217	酿光市 stadium csv10c i 双方玩家每次在自己的回合有1次机会 可以选择自己弃牌区中最多2张 基本 雷 能量  在给对手看过之后加入手牌 
CSV10C-286	酿光市 stadium csv10c i 双方玩家每次在自己的回合有1次机会 可以选择自己弃牌区中最多2张 基本 雷 能量  在给对手看过之后加入手牌 
CSV10C-214	石之洞窟 stadium csv10c i 双方所有 大吾的宝可梦 所受到的对手宝可梦的招式的伤害 -30  
